id,group,task,env,method,seed,proposal_family,budget,engine,repo,config,spec
core__go1__symbolic__s4,core,go1,Go1JoystickFlatTerrain,symbolic,4,,32768000,state,core,configs/core__go1__symbolic__s4.yaml,
core__go1__nesy__s0,core,go1,Go1JoystickFlatTerrain,nesy,0,,32768000,state,core,configs/core__go1__nesy__s0.yaml,
core__go1__nesy__s1,core,go1,Go1JoystickFlatTerrain,nesy,1,,32768000,state,core,configs/core__go1__nesy__s1.yaml,
core__go1__nesy__s2,core,go1,Go1JoystickFlatTerrain,nesy,2,,32768000,state,core,configs/core__go1__nesy__s2.yaml,
core__go1__nesy__s3,core,go1,Go1JoystickFlatTerrain,nesy,3,,32768000,state,core,configs/core__go1__nesy__s3.yaml,
core__go1__nesy__s4,core,go1,Go1JoystickFlatTerrain,nesy,4,,32768000,state,core,configs/core__go1__nesy__s4.yaml,
core__go1__ppo__s0,core,go1,Go1JoystickFlatTerrain,ppo,0,,32768000,ppo,core,configs/core__go1__ppo__s0.yaml,
core__go1__ppo__s1,core,go1,Go1JoystickFlatTerrain,ppo,1,,32768000,ppo,core,configs/core__go1__ppo__s1.yaml,
core__go1__ppo__s2,core,go1,Go1JoystickFlatTerrain,ppo,2,,32768000,ppo,core,configs/core__go1__ppo__s2.yaml,
core__go1__ppo__s3,core,go1,Go1JoystickFlatTerrain,ppo,3,,32768000,ppo,core,configs/core__go1__ppo__s3.yaml,
core__go1__ppo__s4,core,go1,Go1JoystickFlatTerrain,ppo,4,,32768000,ppo,core,configs/core__go1__ppo__s4.yaml,
llm_reference__cheetah__nesy__s0,llm_reference,cheetah,CheetahRun,nesy,0,,52428800,state,core,configs/llm_reference__cheetah__nesy__s0.yaml,
llm_reference__cheetah__nesy__s1,llm_reference,cheetah,CheetahRun,nesy,1,,52428800,state,core,configs/llm_reference__cheetah__nesy__s1.yaml,
llm_reference__cheetah__nesy__s2,llm_reference,cheetah,CheetahRun,nesy,2,,52428800,state,core,configs/llm_reference__cheetah__nesy__s2.yaml,
llm_reference__cheetah__nesy__s3,llm_reference,cheetah,CheetahRun,nesy,3,,52428800,state,core,configs/llm_reference__cheetah__nesy__s3.yaml,
llm_reference__cheetah__nesy__s4,llm_reference,cheetah,CheetahRun,nesy,4,,52428800,state,core,configs/llm_reference__cheetah__nesy__s4.yaml,
llm_pilot__cheetah__initial__g0__s900,llm_pilot,cheetah,CheetahRun,initial,900,0,13107200,state,core,configs/llm_pilot__cheetah__initial__g0__s900.yaml,cheetah/g0/initial.json
llm_final__cheetah__initial__g0__s0,llm_final,cheetah,CheetahRun,initial,0,0,52428800,state,core,configs/llm_final__cheetah__initial__g0__s0.yaml,cheetah/g0/initial.json
llm_final__cheetah__initial__g0__s1,llm_final,cheetah,CheetahRun,initial,1,0,52428800,state,core,configs/llm_final__cheetah__initial__g0__s1.yaml,cheetah/g0/initial.json
llm_final__cheetah__refined__g0__s0,llm_final,cheetah,CheetahRun,refined,0,0,52428800,state,core,configs/llm_final__cheetah__refined__g0__s0.yaml,cheetah/g0/refined.json
llm_final__cheetah__refined__g0__s1,llm_final,cheetah,CheetahRun,refined,1,0,52428800,state,core,configs/llm_final__cheetah__refined__g0__s1.yaml,cheetah/g0/refined.json
llm_final__cheetah__resample__g0__s0,llm_final,cheetah,CheetahRun,resample,0,0,52428800,state,core,configs/llm_final__cheetah__resample__g0__s0.yaml,cheetah/g0/resample.json
llm_final__cheetah__resample__g0__s1,llm_final,cheetah,CheetahRun,resample,1,0,52428800,state,core,configs/llm_final__cheetah__resample__g0__s1.yaml,cheetah/g0/resample.json
llm_pilot__cheetah__initial__g1__s901,llm_pilot,cheetah,CheetahRun,initial,901,1,13107200,state,core,configs/llm_pilot__cheetah__initial__g1__s901.yaml,cheetah/g1/initial.json
llm_final__cheetah__initial__g1__s0,llm_final,cheetah,CheetahRun,initial,0,1,52428800,state,core,configs/llm_final__cheetah__initial__g1__s0.yaml,cheetah/g1/initial.json
