env,backend,hand_env_reward_mean,hand_env_reward_std,hand_success_rate_mean,hand_success_rate_std,hand_n_skills,llm_env_reward_mean,llm_env_reward_std,llm_success_rate_mean,llm_success_rate_std,llm_n_skills,refined_env_reward_mean,refined_success_rate_mean,refined_n_skills,refinement_iterations,refinement_stopped_early,llm_vs_hand_reward_gap_pct
CartpoleBalance,hf,0.5388276696205139,0.1278687221426371,0.41459064185619354,0.21369832638070294,3,0.13520360738039017,0.026251015475805647,0.034618751332163814,0.03217518458281478,3,0.31021109223365784,0.10763855278491974,5,4,False,-74.90782025436602
CheetahRun,hf,0.8423047184944152,0.02864789136901978,0.899275028705597,0.09493703407111595,3,0.7825345158576965,0.13316203573408247,0.9127531886100769,0.042182055017635896,3,0.8492482900619507,0.9290832281112671,5,4,False,-7.096030845411325
Go1JoystickFlatTerrain,hf,0.0063666343223303555,0.002133196323931045,0.28377608954906464,0.08395387337084663,4,8.512663370652263e-07,4.5844145241134646e-07,0.03738172203302383,0.011368281812102872,3,5.871008397662081e-06,0.01729888841509819,5,4,False,-99.98662925662184
HopperHop,hf,0.20566612780094146,0.09316550276298471,0.2409437596797943,0.05276603826414518,4,0.0,0.0,0.0007765625487081707,0.000289320016081977,3,0.0,0.0,5,4,False,-100.0
WalkerWalk,hf,0.9291361093521118,0.011268844569896873,0.996875,0.0038273277230987156,4,0.1988191559910774,0.07765924583657129,0.009375,0.01875,3,0.4070952832698822,0.36343079805374146,5,4,False,-78.60171895270388
