env,condition,seed,env_reward_mean,skill_reward_mean,eval_episode_return_mean,eval_success_rate,eval_goal_metric,mask_violation_rate,wall_s
CartpoleBalance,hand_written,0,0.5327103734016418,-0.35861173272132874,680.066162109375,0.5252109169960022,0.81037837266922,0.0,62.545095920562744
CartpoleBalance,hand_written,1,0.359951913356781,-2.2514350414276123,448.1278076171875,0.2664218842983246,0.2831318974494934,0.0,60.35130262374878
CartpoleBalance,hand_written,2,0.477946937084198,-2.0900962352752686,354.8712463378906,0.1944531351327896,0.31121566891670227,0.0,63.167593240737915
CartpoleBalance,hand_written,3,0.5729257464408875,-0.699410617351532,871.81103515625,0.7805860042572021,0.9991700649261475,0.0,64.20114755630493
CartpoleBalance,hand_written,4,0.7506033778190613,0.5470086336135864,687.373779296875,0.30628126859664917,0.9088733196258545,0.0,65.43159508705139
CartpoleBalance,llm_initial,0,0.11975614726543427,-21.860671997070312,135.5414276123047,0.01853906363248825,0.05999629572033882,0.0,64.87889456748962
CartpoleBalance,llm_initial,1,0.18712912499904633,11.672822952270508,258.8959655761719,0.0989687517285347,0.08606848120689392,0.0,66.72591257095337
CartpoleBalance,llm_initial,2,0.12973403930664062,17.171062469482422,144.802978515625,0.018351564183831215,0.05767471715807915,0.0,67.62961840629578
CartpoleBalance,llm_initial,3,0.11978958547115326,-21.868106842041016,135.54043579101562,0.01853906363248825,0.05998748913407326,0.0,69.09354424476624
CartpoleBalance,llm_initial,4,0.11960913985967636,-21.807666778564453,135.85707092285156,0.01869531348347664,0.060092996805906296,0.0,70.48537492752075
CheetahRun,hand_written,0,0.8755634427070618,4.553602695465088,814.5811767578125,0.9388750195503235,8.150503158569336,0.0,641.5604732036591
CheetahRun,hand_written,1,0.8127292394638062,4.254150867462158,620.71533203125,0.7161015272140503,6.216139316558838,0.0,764.2062199115753
CheetahRun,hand_written,2,0.8269542455673218,4.198058605194092,890.8482666015625,0.9675547480583191,8.99380111694336,0.0,834.1824824810028
CheetahRun,hand_written,3,0.8179807662963867,4.2221221923828125,802.6094360351562,0.9019375443458557,8.039432525634766,0.0,864.9681279659271
CheetahRun,hand_written,4,0.8782958984375,4.584424018859863,856.2445068359375,0.971906304359436,8.570808410644531,0.0,864.8558192253113
CheetahRun,llm_initial,0,0.8663411140441895,11.156991958618164,808.9138793945312,0.9567031860351562,8.100139617919922,0.0,869.6858162879944
CheetahRun,llm_initial,1,0.8573001623153687,11.042961120605469,754.0746459960938,0.8661172389984131,7.550019264221191,0.0,886.263955116272
CheetahRun,llm_initial,2,0.8436611890792847,10.86864185333252,867.0916137695312,0.9650313258171082,8.680553436279297,0.0,883.4475364685059
